Epoch,Accuracy,ECE,MCE
5,46.910000000000004,0.11956967760175466,0.17331188178398238
10,68.96,0.01910887327641249,0.10932392758481643
30,78.88,0.029710551887750614,0.14480340232451755
50,76.72,0.0472015910074115,0.1830804298321406
70,81.16,0.03689109780937431,0.14065378381689986
100,83.38,0.04726125332713123,0.1358671635389328
150,80.45,0.04805536944568156,0.2468777596950531
200,86.82,0.054504041875898815,0.248080151155591
300,92.47,0.05751851952373982,0.24629528323809305
400,92.55,0.06169490398764609,0.19451882878502647
500,92.60000000000001,0.061036860294640095,0.1655561786610633
